trip_id,arrival_time,departure_time,stop_sequence,stop_id
044B_1,12:29:47,12:29:47,6,S5249
044B_1,12:34:07,12:34:07,7,S5382
044B_1,12:35:55,12:35:55,8,S5860
044B_1,12:38:17,12:38:17,9,S19
044B_1,12:39:44,12:39:44,10,S5356
044B_1,12:41:44,12:41:44,11,S5863
044B_1,12:46:00,12:46:00,12,T0
046A_1,9:29:00,9:29:00,1,T75
046A_1,9:45:29,9:45:29,2,S5867
046A_1,9:47:45,9:47:45,3,S5868
046A_1,9:48:30,9:48:30,4,S5869
046A_1,9:49:41,9:49:41,5,S5870
046A_1,9:51:25,9:51:25,6,S5871
046A_1,9:59:17,9:59:17,7,T0
046B_1,10:04:25,10:04:25,1,T0
046B_1,10:13:59,10:13:59,2,S5876
046B_1,10:15:46,10:15:46,3,S5877
046B_1,10:17:33,10:17:33,4,S5878
046B_1,10:19:31,10:19:31,5,S5880
046B_1,10:20:25,10:20:25,6,S5881
